CustomerID,purchase_value,no_of_transaction,recent_transaction
12395.0,346.1,12,1
12427.0,303.5,10,1
12431.0,358.25,14,2
12433.0,1919.1399999999999,73,2
12557.0,620.0,5,1
12567.0,1526.92,63,1
12583.0,855.86,20,2
12600.0,76.5,2,1
12662.0,261.48,15,2
12682.0,336.24,16,1
12686.0,89.14,7,1
12712.0,175.53,9,1
12725.0,427.8,24,1
12738.0,155.35,11,2
12748.0,175.85999999999999,38,1
12779.0,248.16,8,1
12791.0,192.60000000000002,2,2
12793.0,131.8,7,1
12838.0,390.79,59,2
12841.0,505.99,47,1
12855.0,38.1,3,2
12868.0,203.3,12,2
12915.0,199.65,13,2
12921.0,322.40000000000003,15,2
12947.0,304.04,17,2
12967.0,1368.4,15,1
12971.0,45.12,5,2
13011.0,50.550000000000004,3,2
13013.0,1528.34,67,1
13047.0,366.63,17,2
13065.0,205.86,14,2
13069.0,332.5,43,1
13081.0,2366.78,74,1
13089.0,734.3999999999999,2,1
13090.0,160.6,4,2
13093.0,799.4,13,2
13108.0,350.06,10,2
13117.0,202.12,15,2
13138.0,193.23,14,2
13145.0,295.0,1,2
13255.0,225.7,6,2
13269.0,351.43,12,1
13305.0,136.2,5,2
13370.0,754.87,39,1
13402.0,308.28000000000003,17,2
13408.0,1558.68,14,1
13418.0,623.24,23,2
13448.0,443.96000000000004,18,2
13468.0,360.05,20,2
13491.0,98.9,7,2
13506.0,301.12,17,1
13520.0,303.4,6,1
13576.0,349.15,11,2
13694.0,842.12,6,2
13705.0,318.14,10,2
13715.0,272.65000000000003,15,2
13747.0,79.6,1,2
13748.0,204.0,1,2
13758.0,362.45,17,2
13767.0,830.6800000000001,18,2
13777.0,6585.16,33,2
13798.0,408.0,1,2
13831.0,408.0,2,1
13838.0,238.11,52,1
13941.0,1095.12,11,2
14001.0,301.24,9,2
14031.0,1714.25,25,2
14045.0,326.4,1,2
14047.0,286.92,12,2
14060.0,339.84,8,2
14078.0,136.24,13,2
14083.0,309.54,66,1
14135.0,485.25,23,2
14142.0,311.81,22,2
14156.0,322.2,3,1
