CustomerID,purchase_value,no_of_transaction,recent_transaction
12346.0,77183.6,1,11
12415.0,124914.53,716,1
12748.0,33719.73,4596,1
12931.0,42055.96,82,1
13081.0,28337.38,1028,1
13089.0,58825.83,1818,1
13098.0,28882.44,572,1
13408.0,28117.04,478,1
13694.0,65039.62,568,1
13798.0,37153.85,349,1
14088.0,50491.81,589,1
14096.0,65164.79,5111,1
14156.0,117379.63,1400,1
14298.0,51527.3,1637,1
14680.0,28754.11,258,1
15061.0,54534.14,403,1
15098.0,39916.5,3,6
15311.0,60767.9,2379,1
15749.0,44534.3,10,8
15769.0,56252.72,130,1
15838.0,33643.08,167,1
16013.0,37130.6,139,1
16029.0,81024.84,242,1
16333.0,26626.8,45,1
16422.0,34684.4,369,1
16684.0,66653.56,277,1
17389.0,31833.68,213,1
17404.0,31906.82,198,1
17511.0,91062.38,963,1
17841.0,40991.57,7847,1
17857.0,26879.04,54,1
17949.0,58510.48,70,1
